BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,LAND SQUARE FEET,YEAR BUILT,LOT,SALE PRICE
Manhattan,1,0,,,0,1304,630000.0
Manhattan,1,0,,,0,1306,680000.0
Manhattan,1,0,,,2006,1408,995000.0
Manhattan,1,0,,,0,1108,494500.0
Manhattan,1,0,,,2007,1104,1875000.0
Manhattan,0,1,,,1900,1301,2700000.0
Manhattan,0,1,,,1951,1001,1500000.0
Manhattan,0,0,,,1900,1003,635000.0
Manhattan,0,0,,,1900,1003,700000.0
Manhattan,0,0,,,1900,1003,1100000.0
Manhattan,0,0,,,1900,1003,1900000.0
Manhattan,0,0,,,1920,1102,485000.0
Manhattan,0,0,,,1920,1002,1175000.0
Manhattan,0,1,3586.0,1218.0,1899,34,3700000.0
Manhattan,0,0,,,2005,1201,10800000.0
Manhattan,0,0,,,1989,1302,52625000.0
Manhattan,1,0,3855.0,1975.0,1901,52,7425000.0
Manhattan,1,0,5653.0,1588.0,1900,29,10.0
Manhattan,1,0,5653.0,1588.0,1900,29,10.0
Manhattan,1,0,5653.0,1588.0,1900,29,10.0
Manhattan,2,1,4978.0,2150.0,1920,49,7750000.0
Manhattan,3,0,3725.0,2469.0,1901,67,8300000.0
Manhattan,1,0,,,1920,1002,2850000.0
Manhattan,6,1,3762.0,1463.0,1901,37,16000000.0
Manhattan,4,0,2890.0,2057.0,1910,6,5950000.0
Manhattan,24,0,4500.0,2307.0,1900,56,7375000.0
Manhattan,4,0,3042.0,2057.0,1900,63,8000000.0
Manhattan,22,2,13056.0,2581.0,1901,68,14100000.0
Manhattan,9,0,6330.0,1566.0,1901,25,1583840.0
Manhattan,9,0,6330.0,1566.0,1901,25,416790.0
Manhattan,9,0,6330.0,1566.0,1901,25,630370.0
Manhattan,9,0,8540.0,2029.0,1920,53,29400000.0
Manhattan,8,1,7650.0,2581.0,1920,8,6450000.0
Manhattan,15,1,6335.0,2077.0,1901,9,5500000.0
Manhattan,8,1,5955.0,1952.0,1920,10,5750000.0
Manhattan,8,0,4100.0,2000.0,1910,63,3485000.0
Manhattan,6,1,19892.0,2469.0,2014,6,4600000.0
Manhattan,30,2,78882.0,10053.0,2014,11,2341975.0
Manhattan,0,0,,,1920,61,1835000.0
Manhattan,0,0,,,1910,70,700000.0
Manhattan,0,0,,,1900,34,1587500.0
Manhattan,0,0,,,1900,36,310000.0
Manhattan,0,0,,,1900,36,550000.0
Manhattan,0,0,,,1900,21,354500.0
Manhattan,0,0,,,1850,34,1750000.0
Manhattan,0,0,,,1900,42,485000.0
Manhattan,0,0,,,1900,42,1425000.0
Manhattan,0,0,,,1900,65,705000.0
Manhattan,0,0,,,1900,66,2575000.0
Manhattan,0,0,,,1905,70,2200000.0
Manhattan,0,0,,,1900,76,1525000.0
Manhattan,0,0,,,1900,13,1750000.0
Manhattan,0,0,,,1910,46,289000.0
Manhattan,0,0,,,1910,47,670000.0
Manhattan,0,0,,,1910,47,699000.0
Manhattan,0,0,,,1910,46,180000.0
Manhattan,0,0,,,1900,47,1237500.0
Manhattan,0,0,,,1900,48,1300000.0
Manhattan,0,0,,,1900,50,592500.0
Manhattan,0,0,,,1900,41,311000.0
Manhattan,0,0,,,1900,41,770000.0
Manhattan,0,0,,,1900,41,560000.0
Manhattan,0,0,,,1910,57,2000000.0
Manhattan,0,0,,,1920,59,610000.0
Manhattan,0,0,,,1910,6,590000.0
Manhattan,0,0,,,1910,6,1700000.0
Manhattan,0,0,,,1900,74,590000.0
Manhattan,0,0,,,1940,3,441975.0
Manhattan,0,0,,,1940,3,617777.0
Manhattan,0,0,,,1940,3,644000.0
Manhattan,0,0,,,1850,18,1100000.0
Manhattan,0,0,,,1900,19,367500.0
Manhattan,24,0,12200.0,4600.0,1850,32,282000.0
Manhattan,0,0,,,1850,32,710000.0
Manhattan,0,0,,,1850,32,282000.0
Manhattan,0,0,,,1920,16,1280000.0
Manhattan,0,0,,,1920,16,455000.0
Manhattan,0,0,,,1900,17,455000.0
Manhattan,0,0,,,1900,17,685000.0
Manhattan,0,0,,,1900,17,550000.0
Manhattan,0,0,,,1864,21,622500.0
Manhattan,0,0,,,1864,21,1350000.0
Manhattan,0,0,,,1900,50,999000.0
Manhattan,0,0,,,1925,56,490000.0
Manhattan,0,0,,,1925,56,690000.0
Manhattan,0,0,,,1925,56,999000.0
Manhattan,0,0,,,1925,56,470000.0
Manhattan,0,0,,,1925,56,434000.0
Manhattan,0,0,,,1910,6,1085000.0
Manhattan,0,0,,,1900,71,640000.0
Manhattan,0,0,,,1910,72,440000.0
Manhattan,0,0,,,1915,62,620000.0
Manhattan,0,0,,,1915,62,640000.0
Manhattan,0,0,,,1915,62,625000.0
Manhattan,0,0,,,1910,23,1080000.0
Manhattan,0,0,,,1910,23,659000.0
Manhattan,0,0,,,1910,23,500000.0
